#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
GALEX,J08561-1703,08:56:06.30,-17:03:25.20,8.935083,134.026250,-17.057000,sdO,,,14.5,,,,,,,,0.1514,0.0055,0.469,14.032,0.015,14.256,0.008,14.530,0.440,14.610,0.420,,,14.810,0.440,14.440,0.430,14.590,0.030,14.513,0.030,14.441,0.037,14.765,0.045,15.105,0.086,,,,,,,,,,,,,,,,,,,,,14.996,0.048,14.998,0.105,15.179,0.178,,,,,,,,,,,,,14.940,0.003,,,15.091,0.013,15.171,0.041,15.169,0.099,12.570,,8.706,,,,,,-1.1,1.6,-3.5,1.4,-2.8,4.6,-3.4,4.6,,,,,,,,,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
GALEX,J08561+8122,08:56:10.96,81:22:45.48,8.936378,134.045667,81.379300,sdB,,,14.8,31582,,5.56,,-1.49,,Oestensenprep,0.0202,0.0007,0.063,13.685,0.006,14.011,0.005,15.160,0.420,15.000,0.410,15.240,0.370,15.380,0.430,14.450,0.410,14.960,0.056,14.674,0.063,14.726,0.034,15.261,0.048,15.585,0.127,,,,,,,,,,,,,,,,,,,,,15.632,0.078,15.795,0.189,15.792,,,,,,,,,,,,,,,,,,,,16.037,0.055,16.242,0.199,13.197,,9.480,,,,,,10.4,3.5,4.1,4.0,2.4,4.3,-0.4,4.3,,,,,,,,,5.9,5.4,22.0,5.4,,,,,not covered,too faint,,,,,,,,,,,,,,,,
SBSS,0853+506,08:56:34.54,50:27:48.80,8.942928,134.143917,50.463556,sd:,,,17.1,,,,,,,,0.0205,0.0005,0.063,15.782,0.028,16.264,0.014,17.610,0.420,17.210,0.410,17.650,0.320,17.610,0.440,16.650,0.430,,,,,,,,,,,16.917,0.007,17.181,0.004,17.670,0.006,18.007,0.008,18.305,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,3.0,-24.0,3.0,,,,,-4.6,5.0,-20.0,5.0,-2.0,3.0,-18.0,2.0,-6.7,1.9,-11.1,3.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J08568+1701,08:56:49.36,17:01:16.05,8.947044,134.205667,17.021125,sdB,,,13.0,29270,450,5.39,0.20,-2.81,0.00,Nemeth12,0.0180,0.0007,0.056,11.761,0.004,12.687,0.004,13.020,0.410,12.770,0.420,13.170,0.300,13.210,0.440,12.650,0.380,12.840,0.033,12.611,0.055,12.610,0.060,13.072,0.035,13.493,0.092,14.718,0.014,12.729,0.001,13.105,0.001,13.626,0.004,14.301,0.008,,,,,,,,,,,13.426,0.021,13.505,0.029,13.602,0.032,,,,,,,,,,,,,,,,,,,13.733,0.029,13.867,0.049,12.000,,8.567,,-5.0,2.0,-20.0,2.0,-4.1,2.2,-21.2,1.8,-4.7,1.6,-24.3,1.7,,2.0,-16.0,,-4.9,2.5,-25.2,2.1,,,,,,,,,saturated??,not covered,,,,,,,,,,,,,,,,
SDSSJ,085702.56+352455.3,08:57:02.56,35:24:55.3,8.950711,134.260667,35.415361,sdBpec,,,17.9,,,,,,,,0.0261,0.0003,0.081,,,,,17.520,0.190,18.040,0.130,17.720,0.200,17.290,0.220,17.970,0.140,,,,,,,,,,,17.842,0.011,17.752,0.005,17.824,0.006,17.867,0.008,17.991,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.152,0.136,16.628,,12.574,,8.466,,5.0,3.0,-11.0,3.0,,,,,3.7,5.1,-10.3,5.1,,,,,5.6,2.4,-8.1,3.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,085708.54+051453.0,08:57:08.54,05:14:53.0,8.952372,134.285583,5.248056,sdO,,,19.9,,,,,,,,0.0411,0.0018,0.127,18.972,0.073,19.146,0.051,,,19.930,0.390,,,,,19.890,0.400,,,,,,,,,,,19.685,0.031,19.982,0.017,20.463,0.027,20.983,0.067,21.144,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,-6.5,10.0,-2.8,10.0,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,085727.65+424215.4,08:57:27.65,42:42:15.4,8.957681,134.365208,42.704278,He-sdO,,,18.1,39500,1900,5.63,0.24,0.20,0.20,Geier15,0.0219,0.0009,0.068,17.161,0.050,17.286,0.022,18.730,0.420,18.040,0.410,18.670,0.400,,,17.610,0.410,,,,,,,,,,,17.915,0.012,18.260,0.007,18.736,0.010,19.089,0.015,19.374,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,-10.0,3.0,,,,,-2.7,5.2,-9.3,5.2,,,,,0.7,1.4,-9.8,2.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0854+385,08:57:54.69,38:18:52.13,8.965192,134.477875,38.314481,sdB,,,15.5,,,,,,,,0.0256,0.0004,0.079,14.490,0.015,,,15.890,0.410,15.460,0.410,15.790,0.160,16.110,0.430,15.400,0.130,,,,,,,,,,,15.217,0.004,15.392,0.004,15.892,0.005,16.203,0.005,16.516,0.008,,,,,,,,,,,16.210,0.096,16.393,0.228,15.813,0.208,,,,,,,,,,,,,,,,,,,16.207,0.069,15.932,0.189,12.817,,9.384,,-3.0,3.0,-1.0,3.0,-5.1,4.9,1.9,4.8,-6.8,4.9,-1.0,4.9,,,,,-6.8,0.9,-5.3,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,085809.09+252134.6,08:58:09.09,25:21:34.6,8.969192,134.537875,25.359611,sdB,,,18.5,,,,,,,,0.0299,0.0007,0.093,17.372,0.032,17.653,0.026,18.820,0.440,18.650,0.420,19.010,0.440,,,18.140,0.410,,,,,,,,,,,18.243,0.015,18.478,0.008,19.002,0.012,19.339,0.017,19.639,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,3.0,-4.0,3.0,,,,,-1.5,5.8,-7.1,5.8,,,,,1.2,6.4,-2.8,3.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
US,2039,08:58:39.85,44:10:31.36,8.977736,134.666042,44.175378,sdB,,,17.9,,,,,,,,0.0196,0.0003,0.061,,,18.978,0.037,17.640,0.300,17.770,0.290,17.980,0.380,17.000,0.360,17.620,0.410,,,,,,,,,,,18.298,0.016,17.822,0.006,17.842,0.006,17.925,0.008,18.110,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.599,0.104,16.073,0.229,12.754,,8.445,,-7.0,3.0,-28.0,3.0,,,,,-13.2,5.3,-27.0,5.3,-8.0,5.0,-24.0,1.0,-5.0,2.4,-19.8,2.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
FBS,0855+448,08:58:45.37,44:36:33.0,8.979269,134.689042,44.609167,sd,,,16.7,,,,,,,,0.0187,0.0005,0.058,,,19.595,0.050,16.500,0.270,16.440,0.260,16.410,0.380,16.170,0.300,16.560,0.430,,,,,,,,,,,17.702,0.011,16.477,0.004,16.405,0.004,16.432,0.004,16.488,0.008,,,,,,,,,,,15.936,0.117,15.453,0.139,15.499,0.229,,,,,,,,,,,,,,,,,,,15.447,0.050,15.517,0.140,12.601,,9.211,,2.0,3.0,-5.0,3.0,,,,,-1.0,4.6,-6.5,4.6,,,,,4.0,1.1,-0.9,2.1,,,,,,,,,var strong 0.3201,too faint,,,,,,,,,,,,,,,,
GALEX,J08588+0210,08:58:51.08,02:10:13.77,8.980856,134.712833,2.170492,sdO,,,13.7,43735,,5.88,,-1.65,,Orpep,0.0335,0.0014,0.104,12.146,0.003,13.348,0.004,13.810,0.420,13.630,0.410,,,13.910,0.420,13.220,0.410,13.687,0.010,13.422,0.031,13.426,0.059,13.904,0.035,14.299,0.049,12.951,0.002,15.276,0.012,13.896,0.003,14.256,0.003,14.615,0.004,,,,,,,,,,,14.382,0.029,14.442,0.064,14.703,0.099,14.294,0.003,14.397,0.003,14.479,0.005,14.645,0.008,14.057,0.001,14.269,0.002,14.403,0.002,14.545,0.003,14.627,0.005,14.750,0.037,14.925,0.090,12.619,,9.210,,-1.0,3.0,-4.0,3.0,2.3,3.7,-4.6,1.9,5.1,3.9,-5.6,3.9,8.0,2.0,-6.0,6.0,4.7,1.8,-0.5,1.2,2.6,5.9,-16.1,5.9,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,085900.32+023313.1,08:59:00.32,02:33:13.1,8.983422,134.751333,2.553639,sdOB,,,16.0,33790,,5.60,,-1.82,,Nemethprep,0.0357,0.0015,0.111,15.031,0.010,15.289,0.007,16.350,0.420,16.080,0.410,16.440,0.330,16.610,0.440,15.800,0.420,,,,,16.206,,16.614,,16.527,0.283,15.734,0.004,15.985,0.003,16.501,0.004,16.842,0.005,17.133,0.012,,,,,,,,,,,,,,,,,,,16.965,0.021,17.030,0.039,17.349,0.097,16.654,0.003,16.823,0.006,16.937,0.008,17.093,0.021,17.159,0.041,16.729,0.135,16.330,,12.704,,9.038,,2.0,3.0,-4.0,3.0,,,,,-2.8,5.7,-0.7,5.7,,,,,4.2,1.5,-6.3,4.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0856+121,08:59:02.71,11:56:24.69,8.984086,134.761292,11.940192,sdB,,,13.5,25010,1040,5.53,0.11,-3.16,0.00,Luo16,0.0235,0.0019,0.073,,,,,13.470,0.390,13.450,0.400,13.580,0.270,13.350,0.430,13.820,0.430,13.480,0.045,13.369,0.119,13.301,0.072,13.785,0.210,13.996,0.039,13.127,0.003,13.636,0.006,13.685,0.008,13.995,0.003,14.289,0.004,,,,,,,,,,,13.953,0.031,14.048,0.055,14.195,0.071,,,,,,,,,,,,,,,,,,,13.815,0.028,13.838,0.046,12.617,,9.040,,-34.0,2.0,-10.0,2.0,-30.7,1.2,-11.6,1.5,-29.3,2.0,-11.8,2.0,-32.0,2.0,-4.0,1.0,-31.7,1.6,-7.3,1.0,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ9/10,085907.68+451038.8,08:59:07.68,45:10:38.8,8.985467,134.782000,45.177444,sdOB,,,18.8,35100,,5.48,,-2.08,,Nemethprep,0.0192,0.0004,0.059,17.735,0.068,18.116,0.023,19.430,0.320,18.770,0.280,19.050,0.480,,,18.750,0.430,,,,,,,,,,,18.707,0.019,18.963,0.009,19.460,0.017,19.743,0.026,20.266,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,-3.0,3.0,,,,,-4.7,6.5,-4.1,6.5,,,,,3.0,6.3,-6.6,4.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,085912.11+025006.6,08:59:12.11,02:50:06.6,8.986697,134.800458,2.835167,sdB/BHB,,,17.8,20210,,4.81,,-3.01,,Nemethprep,0.0393,0.0004,0.122,17.679,0.041,17.745,0.027,17.930,0.430,17.710,0.420,18.010,0.370,18.080,0.510,17.800,0.430,,,,,,,,,,,17.833,0.011,17.665,0.005,18.020,0.007,18.326,0.009,18.575,0.035,,,,,,,,,,,,,,,,,,,18.316,0.069,18.446,0.140,,,18.054,0.007,18.151,0.014,18.269,0.023,18.310,0.061,18.315,0.117,17.028,0.168,16.365,0.302,12.729,,9.024,,0.0,3.0,-2.0,3.0,,,,,-0.5,5.7,-3.3,5.7,,,,,-2.2,3.6,-8.3,4.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,085918.46+095842.3,08:59:18.46,09:58:42.3,8.988461,134.826917,9.978417,sdB,,,19.6,,,,,,,,0.0383,0.0028,0.119,18.844,0.041,18.926,0.028,20.040,0.500,19.780,0.430,,,,,19.620,0.380,,,,,,,,,,,19.411,0.027,19.704,0.013,20.193,0.023,20.526,0.036,20.631,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,5.0,-1.0,5.0,,,,,-14.0,7.3,2.9,7.3,-8.0,1.0,4.0,5.0,-6.3,0.8,4.0,2.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,0856+508,08:59:44.12,50:40:50.80,8.995589,134.933833,50.680778,sd,,,17.0,,,,,,,,0.0232,0.0003,0.072,15.703,0.023,16.191,0.014,17.480,0.420,17.160,0.410,17.350,0.310,17.530,0.440,16.400,0.430,,,,,,,,,,,16.819,0.007,17.075,0.004,17.543,0.005,17.893,0.008,18.345,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,-24.0,3.0,,,,,5.1,5.1,-19.6,5.1,6.0,2.0,-18.0,4.0,6.8,1.3,-15.1,4.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J09000+0128,09:00:01.55,01:28:51.84,9.000431,135.006458,1.481067,sdB+X,,,13.5,,,,,,,,0.0437,0.0006,0.136,13.384,0.003,13.770,0.003,12.980,0.420,13.490,0.410,,,12.790,0.410,13.420,0.410,13.178,0.053,13.357,0.017,13.230,0.063,13.162,0.032,13.186,0.039,14.338,0.005,13.493,0.002,13.277,0.002,13.347,0.003,13.513,0.004,,,,,,,,,,,12.576,0.030,12.360,0.026,12.342,0.023,12.683,0.001,12.522,0.001,12.366,0.001,12.303,0.002,13.207,0.001,12.747,0.001,12.964,0.001,12.843,0.001,,,12.265,0.023,12.303,0.026,12.100,0.330,9.058,,5.0,3.0,-9.0,3.0,9.9,2.1,-10.6,3.4,10.6,15.0,6.9,15.4,,,,,,,,,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
GALEX,J09004-1104,09:00:28.48,-11:04:39.66,9.007911,135.118667,-11.077683,sdB,,,14.2,,,,,,,,0.0401,0.0013,0.124,13.356,0.007,14.203,0.004,14.530,0.250,14.340,0.220,,,14.530,0.250,13.940,0.420,14.301,0.028,14.117,0.040,14.068,0.022,14.527,0.046,14.890,0.130,,,,,,,,,,,,,,,,,,,,,14.914,0.043,15.068,0.069,15.122,0.149,,,,,,,,,,,,,14.911,0.005,,,15.100,0.016,15.239,0.045,15.406,0.139,12.759,,9.139,,,,,,-11.2,3.0,6.1,2.2,-7.5,4.6,-0.5,4.6,,,,,,,,,-7.7,5.5,2.6,5.5,,,,,const,not covered,,,,,,,,,,,,,,,,
GALEX,J09007+1157,09:00:42.79,11:57:52.20,9.011886,135.178292,11.964500,sdB,,,14.6,34788,,5.77,,-0.72,,Oestensenprep,0.0257,0.0034,0.080,14.030,0.007,14.211,0.003,14.950,0.410,14.700,0.420,14.890,0.280,15.370,0.430,14.700,0.430,14.822,0.028,14.635,0.037,14.612,0.035,15.036,0.035,15.363,0.065,14.257,0.004,14.531,0.003,15.031,0.004,15.378,0.004,15.693,0.006,,,,,,,,,,,15.496,0.061,15.415,0.112,16.074,,,,,,,,,,,,,,,,,,,,15.921,0.068,15.787,0.176,12.596,,8.780,,12.0,2.0,-15.0,2.0,14.2,1.8,-20.9,2.2,10.4,1.3,-17.0,1.3,16.0,2.0,-8.0,3.0,16.9,1.6,-11.2,1.0,16.9,5.9,-22.2,5.9,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,090100.01+565713.6,09:01:00.01,56:57:13.6,9.016669,135.250042,56.953778,sdO,,,19.7,,,,,,,,0.0171,0.0005,0.053,18.445,0.054,18.888,0.047,20.540,0.580,20.300,0.430,19.100,0.790,,,19.880,0.420,,,,,,,,,,,19.474,0.030,19.872,0.018,20.325,0.034,20.791,0.076,21.182,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,6.0,-1.0,6.0,,,,,-8.1,6.5,0.1,6.5,,,,,-7.4,3.3,-2.0,6.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090123.88+281215.5,09:01:23.88,28:12:15.5,9.023300,135.349500,28.204306,sdB?,,,20.5,,,,,,,,0.0255,0.0006,0.079,,,21.592,0.222,,,20.660,0.450,,,,,20.310,0.450,,,,,,,,,,,20.701,0.060,20.227,0.019,20.204,0.025,20.191,0.029,20.474,0.160,,,,,,,,,,,,,,,,,20.020,0.139,19.825,0.173,,,,,,,,,,,,,,,,,,,,,,,-20.0,4.0,27.0,4.0,,,,,-26.0,5.4,22.2,5.4,-22.0,6.0,30.0,14.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090252.46+321316.0,09:02:52.46,32:13:16.0,9.047906,135.718583,32.221111,sdB,,,17.7,,,,,,,,0.0189,0.0003,0.059,,,,,18.390,0.470,17.580,0.420,17.990,0.420,18.190,0.500,17.480,0.410,,,,,,,,,,,17.524,0.010,17.850,0.005,18.324,0.008,18.697,0.012,19.094,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,-2.0,3.0,,,,,0.3,5.1,-2.1,5.1,,,,,-0.9,1.2,-0.2,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090252.99+073533.9,09:02:52.99,07:35:33.9,9.048053,135.720792,7.592750,He-sdO,,,17.0,40100,500,5.91,0.19,2.00,0.00,Geier15,0.0516,0.0046,0.160,16.039,0.015,16.359,0.012,17.540,0.410,16.800,0.420,17.240,0.410,17.780,0.440,16.950,0.430,,,,,,,,,,,16.733,0.007,17.047,0.004,17.514,0.005,17.863,0.007,18.173,0.022,,,,,,,,,,,,,,,,,17.918,0.039,18.049,0.034,18.060,0.072,18.347,0.188,,,,,,,,,,,16.858,0.149,16.804,0.490,11.898,,9.072,,7.0,3.0,-11.0,3.0,,,,,4.4,5.4,-13.2,5.4,12.0,1.0,-10.0,3.0,6.3,2.2,-8.5,2.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090302.39+205009.0,09:03:02.39,20:50:09.0,9.050664,135.759958,20.835833,sdOB,,,18.1,36600,,5.67,,-1.70,,Nemethprep,0.0263,0.0004,0.082,17.269,0.021,17.454,0.018,18.690,0.440,18.440,0.420,18.250,0.430,18.600,0.480,17.420,0.410,,,,,,,,,,,18.144,0.013,18.323,0.007,18.712,0.009,18.860,0.013,19.066,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.0,3.0,-12.0,3.0,,,,,-9.2,4.6,-17.5,4.6,-8.0,11.0,-12.0,1.0,0.8,5.3,-7.9,5.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,090318.36+043533.7,09:03:18.36,04:35:33.7,9.055100,135.826500,4.592694,sdOB,,,16.7,38930,,5.49,,-3.20,,Nemethprep,0.0318,0.0004,0.098,15.389,0.013,15.711,0.010,17.010,0.420,16.670,0.410,17.080,0.360,17.080,0.450,16.860,0.430,,,,,,,,,,,16.308,0.006,16.581,0.004,17.065,0.005,17.431,0.006,17.774,0.016,,,,,,,,,,,,,,,,,17.541,0.016,17.633,0.026,17.666,0.073,17.696,0.126,,,,,,,,,,,,,,,,,,,1.0,3.0,-1.0,3.0,,,,,-2.7,6.0,-0.6,6.0,,,,,4.9,2.9,2.0,3.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090328.82+434623.3,09:03:28.82,43:46:23.3,9.058006,135.870083,43.773139,sdO,,,19.3,,,,,,,,0.0149,0.0004,0.046,18.119,0.071,18.360,0.035,19.870,0.450,19.440,0.400,,,,,19.330,0.410,,,,,,,,,,,19.084,0.024,19.416,0.012,19.835,0.020,20.110,0.038,20.588,0.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,-3.0,4.0,,,,,-3.3,6.3,-5.0,6.3,,,,,-6.2,3.9,1.2,4.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
KUV,09008+3752,09:03:59.68,37:40:18.81,9.066578,135.998667,37.671892,sdO?,,,17.1,,,,,,,,0.0224,0.0006,0.069,15.707,0.027,16.149,0.020,17.630,0.420,17.160,0.410,17.360,0.180,17.950,0.520,17.100,0.130,,,,,,,,,,,16.841,0.007,17.180,0.004,17.668,0.006,18.061,0.008,18.414,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,3.0,-7.0,3.0,,,,,-24.2,5.9,-12.2,5.9,-16.0,1.0,-8.0,6.0,-23.5,1.3,-6.3,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0901+309,09:04:47.72,31:32:51.42,9.079922,136.198833,31.547617,sdOB,,,14.9,38400,900,5.69,0.31,-0.57,0.15,Luo16,0.0181,0.0003,0.056,13.719,0.006,14.060,0.003,15.350,0.430,14.850,0.420,15.290,0.360,15.590,0.420,14.530,0.410,15.172,0.029,14.902,0.027,14.918,0.025,15.391,0.040,15.681,,14.484,0.003,14.834,0.003,15.357,0.003,15.723,0.004,16.067,0.007,,,,,,,,,,,15.763,0.067,15.862,0.144,15.813,,,,,,,,,,,,,,,,,,,,16.313,0.099,16.673,,12.157,,8.982,,1.0,3.0,-4.0,3.0,-1.8,3.8,-2.9,4.3,-2.9,4.7,-8.1,4.7,,,,,-0.7,1.6,-2.9,1.1,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0902+057,09:05:05.40,05:33:01.50,9.084833,136.272500,5.550417,He-sdO,,,14.2,,,,,,,,0.0408,0.0016,0.127,13.056,0.003,13.521,0.003,14.150,0.420,14.030,0.410,14.360,0.360,14.250,0.440,13.840,0.420,14.139,0.036,13.926,0.032,13.873,0.024,14.331,0.021,14.621,0.031,14.626,0.007,15.107,0.006,14.414,0.002,15.218,0.007,15.073,0.006,,,,,,,,,,,14.742,0.036,14.789,0.049,15.116,0.162,14.659,0.004,14.738,0.003,14.833,0.007,14.946,0.010,,,,,,,,,,,15.081,0.045,14.980,0.101,12.472,,9.027,,-14.0,3.0,-6.0,3.0,-15.0,2.1,-4.5,2.7,-15.4,4.4,-6.3,4.4,,,,,-8.3,2.2,-8.8,1.6,-12.6,5.8,-11.5,5.8,,,,,const,not covered,,,,,,,,,,,,,,,,
PG,0902+124,09:05:40.89,12:12:28.36,9.094692,136.420375,12.207878,sdB,,,14.4,28050,840,5.50,0.15,-2.79,0.76,Nemeth12,0.0159,0.0008,0.049,13.508,0.005,13.884,0.003,14.760,0.410,14.580,0.420,14.670,0.310,15.170,0.430,14.070,0.430,14.672,0.073,14.458,0.056,14.429,0.055,14.864,0.058,15.106,0.108,14.181,0.004,14.378,0.003,14.835,0.004,15.168,0.005,15.474,0.006,,,,,,,,,,,15.248,0.044,15.158,0.092,15.589,0.161,,,,,,,,,,,,,,,,,,,15.669,0.063,16.369,0.360,12.623,,8.974,,9.0,2.0,0.0,2.0,10.7,1.9,-1.0,2.2,9.7,1.5,-0.1,1.5,10.0,2.0,4.0,3.0,10.0,1.0,3.2,1.0,1.0,5.9,-4.2,5.9,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ9/10,J090548.02+424037.9,09:05:48.02,42:40:37.9,9.096672,136.450083,42.677194,sdOB,,,16.1,37470,,5.52,,-1.46,,Nemethprep,0.0129,0.0004,0.040,15.42,0.021,15.563,0.015,15.810,0.410,15.920,0.410,16.140,0.290,15.670,0.440,15.990,0.410,,,,,,,,,,,16.277,0.006,16.291,0.004,16.539,0.004,16.628,0.005,16.721,0.009,,,,,,,,,,,15.913,0.073,15.543,0.085,15.137,0.117,,,,,,,,,,,,,,,,,,,15.210,0.038,15.154,0.103,12.951,,9.284,,10.0,3.0,-20.0,3.0,-2.3,3.7,-19.8,3.3,-2.6,4.2,-26.4,4.2,0.0,5.0,-16.0,3.0,1.8,2.6,-12.6,1.1,8.3,5.5,1.0,5.5,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,090600.86+043745.1,09:06:00.86,04:37:45.1,9.100239,136.503583,4.629194,sdB+X,,,16.1,,,,,,,,0.0316,0.0015,0.098,15.761,0.016,16.041,0.012,15.760,0.420,16.120,0.410,16.260,0.370,15.720,0.440,15.910,0.420,15.938,0.122,16.235,0.111,15.997,,16.108,,15.891,,16.273,0.006,15.968,0.003,15.979,0.005,16.005,0.005,16.093,0.007,,,,,,,,,,,15.298,0.053,15.090,0.069,14.948,0.129,15.569,0.005,15.399,0.005,15.138,0.008,15.144,0.013,,,,,,,,,,,15.215,0.045,15.510,0.167,12.649,,9.095,,-4.0,3.0,3.0,3.0,2.0,4.6,-9.8,4.8,-7.2,4.2,-0.5,4.2,,,,,1.9,2.8,1.6,4.4,-6.8,5.9,3.0,5.9,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0903-032,09:06:11.92,-03:21:02.72,9.103311,136.549667,-3.350756,sdB,,,15.2,,,,,,,,0.0179,0.0003,0.056,14.236,0.007,14.572,0.005,15.270,0.430,15.240,0.420,,,15.710,0.430,14.880,0.410,15.445,0.041,15.234,0.087,15.215,0.036,15.662,0.066,16.044,0.210,,,,,,,,,,,,,,,,,,,,,16.078,0.081,15.999,0.134,16.205,,,,,,,,,,,,,,16.029,0.007,,,16.218,0.031,16.231,0.088,15.832,0.196,12.120,,9.206,,,,,,-12.0,5.1,0.4,5.3,-14.1,5.2,-5.6,5.2,-8.0,1.0,-8.0,4.0,,,,,4.6,5.8,-28.2,5.8,,,,,const,too faint,,,,,,,,,,,,,,,,
